dialogue_id,speaker,text,gold_answers,possible_answers
0,OOOOO,"Say, Jim, how about going for a few beers after dinner?",['Open.Demand.Opinion'],"['Open.Demand.Opinion', 'Open.Command']"
0,XXXXX,You know that is tempting but is really not good for our fitness.,['React.Respond.Confront.Reply.Disagree'],"['React.Respond.Confront.Reply.Disagree', 'React.Rejoinder.Support.Response.Resolve', 'React.Respond.Confront.Reply.Contradict']"
0,OOOOO,What do you mean?,"['React.Rejoinder.Support.Track.Check', 'React.Rejoinder.Support.Track.Clarify']","['React.Rejoinder.Support.Track.Check', 'React.Rejoinder.Support.Track.Clarify']"
0,OOOOO,It will help us to relax.,"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
0,XXXXX,Do you really think so?,"['React.Rejoinder.Confront.Challenge.Rebound', 'React.Rejoinder.Support.Track.Confirm']","['React.Rejoinder.Confront.Challenge.Rebound', 'React.Rejoinder.Support.Track.Confirm']"
0,XXXXX,I don't.,['Sustain.Continue.Prolong.Extend'],"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
0,XXXXX,It will just make us fat and act silly.,"['Sustain.Continue.Prolong.Enhance', 'Sustain.Continue.Prolong.Elaborate']","['Sustain.Continue.Prolong.Enhance', 'Sustain.Continue.Prolong.Elaborate']"
0,XXXXX,Remember last time?,['Sustain.Continue.Monitor'],"['Sustain.Continue.Monitor', 'React.Rejoinder.Support.Track.Clarify', 'React.Rejoinder.Support.Track.Probe']"
0,OOOOO,I guess you are right.,['React.Respond.Support.Reply.Agree'],"['React.Respond.Support.Reply.Agree', 'React.Respond.Support.Reply.Acknowledge']"
0,OOOOO,But what shall we do?,['React.Rejoinder.Support.Track.Clarify'],['React.Rejoinder.Support.Track.Clarify']
0,OOOOO,I don't feel like sitting at home.,"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
0,XXXXX,I suggest a walk over to the gym where we can play singsong and meet some of our friends.,"['React.Respond.Support.Develop.Extend', 'React.Rejoinder.Support.Response.Resolve']","['React.Respond.Support.Develop.Extend', 'React.Rejoinder.Support.Response.Resolve']"
0,OOOOO,That's a good idea.,"['React.Respond.Support.Register', 'React.Respond.Support.Reply.Agree']","['React.Respond.Support.Register', 'React.Respond.Support.Reply.Agree']"
0,OOOOO,I hear Mary and Sally often go there to play pingpong.,"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']","['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
0,OOOOO,Perhaps we can make a foursome with them.,['Sustain.Continue.Prolong.Extend'],"['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
0,XXXXX,Sounds great to me!,['React.Respond.Support.Register'],"['React.Respond.Support.Register', 'React.Respond.Support.Reply.Agree']"
0,XXXXX,"If they are willing, we could ask them to go dancing with us.",['Sustain.Continue.Prolong.Extend'],"['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
0,XXXXX,"That is excellent exercise and fun, too.","['Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
0,OOOOO,Good.,['React.Respond.Support.Register'],['React.Respond.Support.Register']
0,OOOOO,Let' s go now.,['Sustain.Continue.Prolong.Extend'],"['Sustain.Continue.Prolong.Extend', 'Open.Command', 'React.Rejoinder.Confront.Challenge.Detach']"
0,XXXXX,All right.,"['React.Respond.Support.Register', 'React.Respond.Support.Reply.Agree']","['React.Respond.Support.Register', 'React.Respond.Support.Reply.Agree']"
1,OOOOO,Can you do push-ups?,['Open.Demand.Fact'],"['Open.Demand.Fact', 'Open.Demand.Opinion']"
1,XXXXX,Of course I can.,['React.Respond.Support.Reply.Affirm'],['React.Respond.Support.Reply.Affirm']
1,XXXXX,It's a piece of cake!,"['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance', 'React.Respond.Support.Register']"
1,XXXXX,Believe it or not.,"['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
1,XXXXX,I can do 30 push-ups a minute.,"['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
1,OOOOO,Really?,['React.Rejoinder.Support.Track.Confirm'],"['React.Rejoinder.Support.Track.Confirm', 'React.Rejoinder.Confront.Challenge.Rebound', 'React.Respond.Support.Register']"
1,OOOOO,I think that's impossible!,"['Sustain.Continue.Prolong.Elaborate', 'React.Rejoinder.Confront.Challenge.Counter']","['Sustain.Continue.Prolong.Extend', 'React.Rejoinder.Confront.Challenge.Counter', 'Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance']"
1,XXXXX,You mean 30 push-ups?,['React.Rejoinder.Support.Track.Check'],"['React.Rejoinder.Support.Track.Check', 'React.Rejoinder.Support.Track.Clarify', 'React.Rejoinder.Support.Track.Probe', 'React.Rejoinder.Support.Track.Confirm']"
1,OOOOO,Yeah!,['React.Respond.Support.Reply.Affirm'],['React.Respond.Support.Reply.Affirm']
1,XXXXX,It's easy.,"['React.Respond.Support.Develop.Elaborate', 'React.Respond.Support.Develop.Enhance', 'React.Respond.Support.Develop.Extend']","['React.Respond.Support.Develop.Elaborate', 'React.Respond.Support.Develop.Enhance', 'React.Respond.Support.Develop.Extend', 'React.Respond.Confront.Reply.Disagree']"
1,XXXXX,"If you do exercise everyday, you can make it, too.","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend']","['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Extend', 'Sustain.Continue.Prolong.Enhance']"
2,OOOOO,Can you study with the radio on?,['Open.Demand.Fact'],"['Open.Demand.Opinion', 'Open.Demand.Fact']"
2,XXXXX,No.,['React.Respond.Confront.Reply.Disagree'],['React.Respond.Confront.Reply.Disagree']
2,XXXXX,I listen to background music.,['Sustain.Continue.Prolong.Extend'],"['Sustain.Continue.Prolong.Elaborate', 'Sustain.Continue.Prolong.Enhance', 'Sustain.Continue.Prolong.Extend']"
2,OOOOO,What is the difference?,['React.Rejoinder.Support.Track.Clarify'],['React.Rejoinder.Support.Track.Clarify']
